Time,iGlob,tOut,vpOut,co2Out,wind,tSky,tSoOut,dayRadSum,isDay,isDaySmooth,hElevation
Time since start of data,Outdoor global solar radiation,Outdoor temperature,Outdoor vapor pressure,Outdoor CO2 concentration,Outdoor wind speed,Apparent sky temperature,Soil temperature at 2 m depth,Daily sum of outdoor global solar radiation,Switch determining if it is day or night,Smooth switch determining if it is day or night,Elevation at location
s,W m**-2,°C,Pa,mg m**-3,m s**-1,°C,°C,MJ m**-2,-,-,m above sea level
0.0,0.0,8.509999999999998,397.721588703891,799.8012457708246,0.7700000000000001,-3.490000000000002,15.546249815095816,6.08556,0.0,0.0,1551.0
120.0,0.0,8.509999999999998,397.721588703891,799.8012457708246,0.7700000000000001,-3.490000000000002,15.546249815095816,6.08556,0.0,0.0,1551.0
240.0,0.0,9.300000000000002,410.2231749089078,797.5642375068524,0.30000000000000016,-2.6999999999999975,15.546249815095816,6.08556,0.0,0.0,1551.0
360.0,0.0,9.300000000000002,410.2231749089078,797.5642375068524,0.30000000000000016,-2.6999999999999975,15.546249815095816,6.08556,0.0,0.0,1551.0
480.0,0.0,9.300000000000002,410.2231749089078,797.5642375068524,0.30000000000000016,-2.6999999999999975,15.546249815095816,6.08556,0.0,0.0,1551.0
600.0,0.0,9.71,407.6000228069312,796.4081838499982,1.3600000000000012,-2.289999999999999,15.546249815095816,6.08556,0.0,0.0,1551.0
720.0,0.0,9.71,407.6000228069312,796.4081838499982,1.3600000000000012,-2.289999999999999,15.546249815095816,6.08556,0.0,0.0,1551.0
840.0,0.0,9.849999999999998,426.3442220185527,796.0142010028638,0.8499999999999992,-2.150000000000002,15.546249815095816,6.08556,0.0,0.0,1551.0
960.0,0.0,9.849999999999998,426.3442220185527,796.0142010028638,0.8499999999999992,-2.150000000000002,15.546249815095816,6.08556,0.0,0.0,1551.0
1080.0,0.0,9.849999999999998,426.3442220185527,796.0142010028638,0.8499999999999992,-2.150000000000002,15.546249815095816,6.08556,0.0,0.0,1551.0
1200.0,0.0,9.630000000000003,434.68947632607296,796.6334920567597,1.5499999999999985,-2.3699999999999974,15.546249815095816,6.08556,0.0,0.0,1551.0
1320.0,0.0,9.630000000000003,434.68947632607296,796.6334920567597,1.5499999999999985,-2.3699999999999974,15.546249815095816,6.08556,0.0,0.0,1551.0
1440.0,0.0,9.019999999999998,437.43326147025317,798.355668156822,1.179999999999998,-2.980000000000002,15.546249815095816,6.08556,0.0,0.0,1551.0
1560.0,0.0,9.019999999999998,437.43326147025317,798.355668156822,1.179999999999998,-2.980000000000002,15.546249815095816,6.08556,0.0,0.0,1551.0
1680.0,0.0,9.019999999999998,437.43326147025317,798.355668156822,1.179999999999998,-2.980000000000002,15.546249815095816,6.08556,0.0,0.0,1551.0
1800.0,0.0,8.690000000000001,436.4504037871345,799.290444521042,1.4499999999999986,-3.3099999999999987,15.546249815095816,6.08556,0.0,0.0,1551.0
1920.0,0.0,8.690000000000001,436.4504037871345,799.290444521042,1.4499999999999986,-3.3099999999999987,15.546249815095816,6.08556,0.0,0.0,1551.0
2040.0,0.0,8.389999999999999,431.4321444220152,800.1421427996393,0.9600000000000016,-3.610000000000001,15.546249815095816,6.08556,0.0,0.0,1551.0
2160.0,0.0,8.389999999999999,431.4321444220152,800.1421427996393,0.9600000000000016,-3.610000000000001,15.546249815095816,6.08556,0.0,0.0,1551.0
2280.0,0.0,8.389999999999999,431.4321444220152,800.1421427996393,0.9600000000000016,-3.610000000000001,15.546249815095816,6.08556,0.0,0.0,1551.0
2400.0,0.0,8.219999999999999,428.9959988240117,800.6255780069321,0.8900000000000009,-3.780000000000001,15.546249815095816,6.08556,0.0,0.0,1551.0
2520.0,0.0,8.219999999999999,428.9959988240117,800.6255780069321,0.8900000000000009,-3.780000000000001,15.546249815095816,6.08556,0.0,0.0,1551.0
2640.0,0.0,7.760000000000002,437.50565771809875,801.9366305357962,0.7299999999999983,-4.239999999999998,15.546249815095816,6.08556,0.0,0.0,1551.0
2760.0,0.0,7.760000000000002,437.50565771809875,801.9366305357962,0.7299999999999983,-4.239999999999998,15.546249815095816,6.08556,0.0,0.0,1551.0
2880.0,0.0,7.760000000000002,437.50565771809875,801.9366305357962,0.7299999999999983,-4.239999999999998,15.546249815095816,6.08556,0.0,0.0,1551.0
3000.0,0.0,7.200000000000001,432.98760965558347,803.5385014582147,1.2400000000000007,-4.799999999999999,15.546249815095816,6.08556,0.0,0.0,1551.0
3120.0,0.0,7.200000000000001,432.98760965558347,803.5385014582147,1.2400000000000007,-4.799999999999999,15.546249815095816,6.08556,0.0,0.0,1551.0
